Road ID,Length (km),Number of Bends,Traffic Volume (vehicles/hour),Accident Risk
R1,10,5,2000,High
R2,15,3,1500,Moderate
R3,8,8,2500,High
R4,20,2,1000,Low
R5,12,6,2200,High
R6,18,4,1800,Moderate
R7,9,9,2800,High
R8,14,3,1200,Low
R9,11,7,2400,High
R10,22,1,800,Low
R11,13,5,2100,High
R12,17,3,1600,Moderate
R13,7,10,2600,High
R14,21,2,900,Low
R15,10,6,2300,High
R16,16,4,1700,Moderate
R17,12,7,2500,High
R18,19,3,1100,Low
R19,9,8,2700,High
R20,23,1,700,Low
R21,14,5,2200,High
R22,15,4,1800,Moderate
R23,6,9,2800,High
R24,20,2,1000,Low
R25,13,6,2400,High
R26,18,3,1500,Moderate
R27,8,7,2600,High
R28,22,1,900,Low
R29,12,5,2300,High
R30,17,3,1600,Moderate
R31,7,9,2700,High
R32,21,2,1000,Low
R33,11,6,2400,High
R34,16,4,1700,Moderate
R35,9,8,2500,High
R36,19,3,1200,Low
R37,10,7,2600,High
R38,23,1,800,Low
R39,13,5,2200,High
R40,15,4,1800,Moderate
R41,8,9,2800,High
R42,20,2,900,Low
R43,12,6,2400,High
R44,17,3,1600,Moderate
R45,7,7,2600,High
R46,22,1,1000,Low
R47,10,5,2200,High
R48,16,4,1700,Moderate
R49,12,6,2400,High
R50,18,3,1600,Moderate